Indicator.Name,Indicator.Code
"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ
"EBRD, private nonguaranteed (NFL, current US$)",DT.NFL.NEBR.CD
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.DO.FE.ZS
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS
Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS
Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH
"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS
"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS
"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS
Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD
Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS
Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS
Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS
Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS
Expense (% of GDP),GC.XPN.TOTL.GD.ZS
Expense (current LCU),GC.XPN.TOTL.CN
Export unit value index (2000 = 100),TX.UVI.MRCH.XD.WD
Export value index (2000 = 100),TX.VAL.MRCH.XD.WD
Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD
Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN
Exports of goods and services (current LCU),NE.EXP.GNFS.CN
Exports of goods and services (current US$),NE.EXP.GNFS.CD
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN
External balance on goods and services (current LCU),NE.RSB.GNFS.CN
External balance on goods and services (current US$),NE.RSB.GNFS.CD
"External debt stocks (% of exports of goods, services and primary income)",DT.DOD.DECT.EX.ZS
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS
"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD
"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD
"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD
"External debt stocks, variable rate (DOD, current US$)",DT.DOD.VTOT.CD
External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD
Female genital mutilation prevalence (%),SH.STA.FGMS.ZS
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS
Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS
Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG
Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD
Final consumption expenditure (constant LCU),NE.CON.TOTL.KN
Final consumption expenditure (current LCU),NE.CON.TOTL.CN
Final consumption expenditure (current US$),NE.CON.TOTL.CD
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN
Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN
Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS
Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS
Firms experiencing electrical outages (% of firms),IC.ELC.OUTG.ZS
Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS
Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS
Firms offering formal training (% of firms),IC.FRM.TRNG.ZS
Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS
Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS
Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS
Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS
Firms visited or required meetings with tax officials (% of firms),IC.FRM.METG.ZS
Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS
Firms with female top manager (% of firms),IC.FRM.FEMM.ZS
"Fish species, threatened",EN.FSH.THRD.NO
Fixed broadband subscriptions,IT.NET.BBND
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2
Fixed telephone subscriptions,IT.MLT.MAIN
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2
Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN
Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS
"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD
Forest area (% of land area),AG.LND.FRST.ZS
Forest area (sq. km),AG.LND.FRST.K2
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN
Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN
GDP (constant 2010 US$),NY.GDP.MKTP.KD
GDP (constant LCU),NY.GDP.MKTP.KN
GDP (current LCU),NY.GDP.MKTP.CN
GDP (current US$),NY.GDP.MKTP.CD
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS
GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD
GDP growth (annual %),NY.GDP.MKTP.KD.ZG
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD
GDP per capita (constant LCU),NY.GDP.PCAP.KN
GDP per capita (current LCU),NY.GDP.PCAP.CN
GDP per capita (current US$),NY.GDP.PCAP.CD
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD
GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD
GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP
"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD
GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS
General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN
General government final consumption expenditure (current US$),NE.CON.GOVT.CD
GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE
GINI index (World Bank estimate),SI.POV.GINI
GNI (constant 2010 US$),NY.GNP.MKTP.KD
GNI (constant LCU),NY.GNP.MKTP.KN
GNI (current LCU),NY.GNP.MKTP.CN
GNI (current US$),NY.GNP.MKTP.CD
GNI growth (annual %),NY.GNP.MKTP.KD.ZG
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD
GNI per capita (constant LCU),NY.GNP.PCAP.KN
GNI per capita (current LCU),NY.GNP.PCAP.CN
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD
"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD
"GNI, PPP (constant 2011 international $)",NY.GNP.MKTP.PP.KD
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD
Goods and services expense (% of expense),GC.XPN.GSRV.ZS
Goods and services expense (current LCU),GC.XPN.GSRV.CN
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS
Grants and other revenue (% of revenue),GC.REV.GOTR.ZS
Grants and other revenue (current LCU),GC.REV.GOTR.CN
"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD
Gross capital formation (constant LCU),NE.GDI.TOTL.KN
Gross capital formation (current LCU),NE.GDI.TOTL.CN
Gross capital formation (current US$),NE.GDI.TOTL.CD
Gross domestic income (constant LCU),NY.GDY.TOTL.KN
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS
Gross domestic savings (current LCU),NY.GDS.TOTL.CN
Gross domestic savings (current US$),NY.GDS.TOTL.CD
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN
Gross national expenditure (current LCU),NE.DAB.TOTL.CN
Gross national expenditure (current US$),NE.DAB.TOTL.CD
Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS
Gross savings (% of GDP),NY.GNS.ICTR.ZS
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS
Gross savings (current LCU),NY.GNS.ICTR.CN
Gross savings (current US$),NY.GNS.ICTR.CD
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN
Gross value added at basic prices (GVA) (current LCU),NY.GDP.FCST.CN
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD
HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS
High-technology exports (current US$),TX.VAL.TECH.CD
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS
Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG
Households and NPISHs Final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN
Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD
Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD
Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG
"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD
"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD
ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD
IDA grants (current US$),DT.DIS.IDAG.CD
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ
"IFC, private nonguaranteed (NFL, current US$)",DT.NFL.NIFC.CD
"IMF charges (INT, current US$)",DT.INT.DIMF.CD
"IMF purchases (DIS, current US$)",DT.DIS.DIMF.CD
"IMF repurchases (AMT, current US$)",DT.AMT.DIMF.CD
"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS
Import unit value index (2000 = 100),TM.UVI.MRCH.XD.WD
Import value index (2000 = 100),TM.VAL.MRCH.XD.WD
Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD
Imports of goods and services (constant 2010 US$),NE.IMP.GNFS.KD
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN
Imports of goods and services (current LCU),NE.IMP.GNFS.CN
Imports of goods and services (current US$),NE.IMP.GNFS.CD
"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD
Incidence of HIV (% of uninfected population ages 15-49),SH.HIV.INCD.ZS
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD
Income share held by fourth 20%,SI.DST.04TH.20
Income share held by highest 10%,SI.DST.10TH.10
Income share held by highest 20%,SI.DST.05TH.20
Income share held by lowest 10%,SI.DST.FRST.10
Income share held by lowest 20%,SI.DST.FRST.20
Income share held by second 20%,SI.DST.02ND.20
Income share held by third 20%,SI.DST.03RD.20
Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP1.ZG
Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),SH.UHC.NOP1.CG
Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP2.ZG
Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),SH.UHC.NOP2.CG
Individuals using the Internet (% of population),IT.NET.USER.ZS
"Industrial design applications, nonresident, by count",IP.IDS.NRCT
"Industrial design applications, resident, by count",IP.IDS.RSCT
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG
"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD
"Industry (including construction), value added (constant LCU)",NV.IND.TOTL.KN
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD
"Industry (including construction), value added per worker (constant 2010 US$)",NV.IND.EMPL.KD
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG
"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD
Informal employment (% of total non-agricultural employment),SL.ISV.IFRM.ZS
"Informal employment, female (% of total non-agricultural employment)",SL.ISV.IFRM.FE.ZS
"Informal employment, male (% of total non-agricultural employment)",SL.ISV.IFRM.MA.ZS
Informal payments to public officials (% of firms),IC.FRM.CORR.ZS
Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT
Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5
"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5
"Interest arrears, long-term DOD (US$)",DT.IXA.DPPG.CD
"Interest arrears, official creditors (current US$)",DT.IXA.OFFT.CD
"Interest arrears, private creditors (current US$)",DT.IXA.PRVT.CD
Interest forgiven (current US$),DT.IXF.DPPG.CD
Interest payments (% of expense),GC.XPN.INTP.ZS
Interest payments (% of revenue),GC.XPN.INTP.RV.ZS
Interest payments (current LCU),GC.XPN.INTP.CN
"Interest payments on external debt (% of exports of goods, services and primary income)",DT.INT.DECT.EX.ZS
Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS
"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD
"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD
"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD
"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD
"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP
Interest rescheduled (capitalized) (current US$),DT.IXR.DPPG.CD
"Interest rescheduled, official (current US$)",DT.IXR.OFFT.CD
"Interest rescheduled, private (current US$)",DT.IXR.PRVT.CD
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS
"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV
International migrant stock (% of population),SM.POP.TOTL.ZS
"International migrant stock, total",SM.POP.TOTL
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS
"International tourism, expenditures (current US$)",ST.INT.XPND.CD
"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD
"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD
"International tourism, number of arrivals",ST.INT.ARVL
"International tourism, number of departures",ST.INT.DPRT
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS
"International tourism, receipts (current US$)",ST.INT.RCPT.CD
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD
Investment in energy with private participation (current US$),IE.PPI.ENGY.CD
Investment in ICT with private participation (current US$),IE.PPI.ICTI.CD
Investment in transport with private participation (current US$),IE.PPI.TRAN.CD
Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS
